Car,Price,Driver age,Experience,Car age,Gender,Ownership type,Vehicle class,Annual mileage
Changan,2.416,26,3,4.986,1,0,2,41.516
Lada (ВАЗ),1.120,28,8,3.088,0,0,0,35.320
Toyota,0.600,24,0,1.454,0,0,1,37.069
SsangYong,0.787,26,2,1.089,0,1,2,48.337
Zotye,3.692,19,2,1.485,0,0,1,4.357
GAC,1.633,39,20,1.469,1,1,0,29.420
Renault,3.449,35,18,3.226,1,0,0,3.512
Saab,0.552,30,9,4.676,0,1,0,25.189
Honda,1.326,23,1,2.801,1,0,2,30.903
Fiat,0.870,22,2,0.305,0,0,0,12.159
Skoda,2.131,33,14,4.485,0,0,2,28.967
Bugatti,3.107,37,11,0.590,0,0,1,22.084
Lexus,0.268,43,19,3.454,0,0,0,11.472
Dodge,1.287,22,3,0.593,0,0,2,27.590
Haval,0.997,39,13,3.534,0,0,0,36.471
Lexus,2.264,29,1,3.970,0,0,0,65.329
Toyota,0.184,30,0,3.177,0,0,0,32.872
Jaguar,0.258,50,25,2.262,0,0,0,3.286
Honda,2.116,34,15,9.205,0,0,1,40.288
GAC,2.549,25,0,2.524,0,1,1,73.086
Chery,1.785,56,24,7.594,1,1,0,28.814
Bugatti,0.669,23,2,0.273,0,1,0,15.967
Kia,0.367,36,14,0.736,1,0,1,50.966
Isuzu,0.636,36,1,3.769,1,0,0,9.766
Oldsmobile,1.731,18,0,6.975,0,0,1,40.970
Fiat,0.613,32,8,0.156,0,0,0,40.602
Isuzu,0.782,26,7,1.351,0,0,2,48.319
Alfa Romeo,0.862,39,16,3.097,0,0,2,30.431
DS,1.007,40,14,7.168,0,0,0,22.807
Isuzu,0.418,25,1,0.790,1,0,0,37.754
Lincoln,0.258,37,15,2.226,0,0,2,15.267
Renault,0.277,36,18,1.091,0,0,0,44.206
Land Rover,2.425,20,0,4.463,0,0,0,31.459
Kia,0.242,50,18,6.003,0,0,0,62.069
Pontiac,0.308,45,18,6.039,0,0,0,84.880
Geely,0.633,30,9,4.402,1,0,1,69.016
Lincoln,1.074,26,0,4.050,0,1,1,35.994
Ford,1.292,21,2,3.630,0,0,2,41.214
Maybach,0.692,33,15,2.633,0,0,2,24.035
DS,0.334,38,20,1.260,0,0,0,20.641
Ford,1.597,30,5,2.486,0,0,0,23.733
Oldsmobile,3.436,44,19,5.469,0,0,1,47.444
Kia,1.711,57,22,0.514,0,1,2,37.509
SEAT,1.318,22,0,2.414,0,0,2,52.081
Zotye,1.532,43,7,4.998,1,1,2,9.095
Haval,2.388,20,1,1.940,0,0,0,29.993
Buick,1.109,41,15,1.067,0,0,2,41.840
Zotye,2.741,32,8,2.080,0,0,2,5.901
Mitsubishi,1.682,31,1,7.188,0,0,2,7.724
Aston Martin,0.368,18,1,3.979,0,0,2,31.402
Isuzu,0.473,20,0,3.421,0,0,0,50.397
Mitsubishi,1.019,19,0,5.489,0,0,2,5.692
Jeep,0.636,35,18,5.746,0,0,2,9.144
DS,1.262,40,13,1.786,0,0,0,59.480
Kia,0.260,20,3,3.592,0,0,0,22.019
Buick,2.510,70,17,1.065,0,1,0,22.179
Saab,1.477,32,11,5.578,0,0,2,51.076
BYD,0.582,42,21,6.116,1,0,0,31.469
Hummer,0.630,59,28,6.526,1,0,3,38.257
Mini,3.208,44,17,1.745,0,0,2,60.790
JAC,1.062,24,6,3.941,0,0,2,40.224
Great Wall,0.675,21,1,5.787,0,0,0,4.463
Suzuki,0.226,39,4,6.374,1,0,0,27.466
Great Wall,0.278,46,13,3.709,0,1,2,12.027
ТагАЗ,0.284,52,26,1.852,1,0,2,18.636
Lada (ВАЗ),0.213,41,13,2.479,0,0,2,52.892
Lexus,0.548,61,17,1.341,1,0,0,3.891
УАЗ,1.977,39,14,3.900,0,0,0,12.949
Changan,0.354,25,2,0.514,1,0,0,62.069
Lamborghini,0.582,48,22,0.902,0,0,1,8.883
Brilliance,0.294,22,1,1.046,1,0,2,45.717
Genesis,0.793,36,14,0.091,1,0,1,29.591
Haval,0.722,41,20,0.025,1,0,0,56.503
Toyota,1.716,23,6,0.011,1,0,0,5.906
Geely,2.070,57,15,4.720,0,0,0,32.456
Mitsubishi,1.223,38,8,1.713,1,0,1,22.097
Cadillac,2.423,34,1,0.224,0,0,1,47.690
Volkswagen,2.443,29,7,3.688,1,0,0,38.502
Suzuki,2.629,39,8,5.170,1,0,2,28.930
Tesla,0.409,31,10,2.751,0,0,0,50.064
BYD,0.268,31,12,3.085,1,0,1,33.999
Toyota,2.353,24,5,3.950,1,1,0,32.271
Great Wall,0.285,34,12,5.399,1,1,0,3.512
Volkswagen,0.978,41,15,5.621,0,0,0,62.818
Chrysler,1.375,60,19,2.265,0,0,2,33.043
Mitsubishi,0.994,33,7,10.493,0,0,3,60.935
Cadillac,2.282,27,4,3.160,1,0,1,59.280
Subaru,0.740,53,24,5.925,0,1,0,45.456
Foton,3.886,38,18,0.920,1,0,2,41.865
Foton,2.065,34,8,1.958,0,0,3,41.184
Nissan,0.692,20,1,0.516,1,0,0,30.357
Toyota,2.652,34,14,3.588,0,0,2,32.966
Daewoo,1.122,38,14,0.192,0,0,2,68.325
Rover,0.557,46,15,0.354,1,0,2,9.481
Opel,0.577,19,1,7.824,0,0,2,42.615
Toyota,0.282,47,15,1.391,0,0,2,16.513
Nissan,0.494,34,2,2.902,0,0,0,8.800
Genesis,0.189,63,28,7.212,0,0,2,26.963
Mercedes-Benz,1.076,21,1,3.401,0,0,1,4.643
GMC,0.564,19,2,3.935,0,0,0,24.845
Skoda,0.711,21,4,1.850,0,0,2,45.644
FAW,0.908,34,6,7.485,1,0,2,41.508
Fiat,0.551,45,16,2.141,0,0,2,7.461
Citroen,2.113,32,13,0.104,1,0,0,27.303
Scion,2.151,38,14,2.694,0,1,0,9.991
DongFeng,0.280,23,2,4.605,0,0,3,22.049
Isuzu,0.444,40,16,7.649,0,1,0,36.654
Renault,1.162,45,12,2.541,0,0,0,78.425
Mazda,2.637,53,13,10.481,0,0,0,17.376
Dodge,0.726,41,11,0.566,0,0,0,79.959
Kia,0.602,25,7,6.623,0,1,1,10.929
Ravon,1.785,26,5,8.533,0,0,1,7.199
GMC,1.450,24,3,6.838,0,0,2,8.095
Tesla,0.593,50,21,1.328,1,0,0,6.135
Fiat,1.090,32,5,1.069,0,0,0,31.823
Lada (ВАЗ),0.444,32,1,1.246,0,0,0,19.382
Maybach,1.033,32,11,5.144,0,0,3,23.376
Volkswagen,0.153,49,13,2.658,1,0,2,23.810
DongFeng,0.409,36,3,6.124,1,1,2,12.965
Acura,2.124,69,28,0.250,0,0,1,37.205
Chrysler,1.335,29,12,3.135,1,0,2,27.132
Renault,0.994,44,10,4.411,0,0,0,47.954
Infiniti,1.915,26,8,1.564,0,1,1,55.237
Lamborghini,1.259,52,20,3.600,0,0,0,81.930
Genesis,0.957,31,4,0.022,0,1,1,20.333
Mazda,0.768,37,9,2.750,0,0,2,84.544
ГАЗ,2.417,45,14,4.272,1,1,2,3.513
DS,0.991,24,6,2.360,0,0,3,10.439
Acura,2.523,39,11,3.666,0,0,0,14.871
Lexus,1.045,34,0,0.913,0,0,2,19.948
Aston Martin,1.915,44,19,5.823,1,0,0,37.411
Fiat,0.784,48,17,1.766,0,0,2,31.976
Luxgen,1.121,38,12,6.754,1,0,0,64.594
Chery,3.280,53,9,6.006,1,0,2,28.545
Lexus,0.983,52,14,6.661,1,0,0,36.837
Ford,1.179,54,14,1.375,0,0,2,54.334
Acura,0.503,29,7,7.134,1,0,2,24.381
Citroen,3.882,35,14,0.679,1,1,2,48.363
Москвич,1.147,51,28,7.560,1,1,2,53.289
Skoda,1.797,35,12,4.289,0,0,0,59.577
ZAZ,2.932,27,4,3.240,0,0,1,23.520
Peugeot,0.278,38,6,2.643,1,0,0,33.631
Ravon,0.305,30,12,7.719,0,0,0,52.302
Daewoo,0.718,35,11,6.189,1,1,2,28.414
Fiat,0.994,26,2,0.597,0,0,0,27.066
Jeep,0.363,21,3,5.035,0,0,0,46.141
Toyota,1.077,31,9,5.845,1,0,0,29.531
Foton,1.016,28,2,0.612,1,0,3,49.353
Jeep,1.007,37,11,0.233,0,0,2,58.048
Mercedes-Benz,1.256,32,8,3.567,0,0,1,37.055
Oldsmobile,3.123,24,0,2.501,0,1,3,24.900
Nissan,0.772,28,3,5.642,1,0,2,6.396
Honda,0.948,26,4,2.106,1,0,0,16.740
Mercedes-Benz,0.331,46,17,0.949,0,1,0,3.833
Bugatti,1.447,32,15,2.016,0,0,2,29.688
Opel,0.283,30,8,3.645,1,0,0,11.203
Dodge,0.185,30,4,8.428,1,0,0,34.781
Geely,0.244,60,23,2.037,0,0,0,46.949
Fiat,0.742,28,1,4.013,0,0,2,25.043
Toyota,1.171,30,5,3.457,0,0,2,39.845
Dodge,1.017,41,16,4.044,1,0,1,31.706
Toyota,0.251,38,9,4.343,1,1,2,38.936
Mercedes-Benz,0.933,30,5,1.798,0,0,2,43.477
Rover,2.257,19,1,6.126,0,0,2,50.944
BMW,1.646,24,2,1.657,0,0,3,88.456
Opel,2.043,60,16,2.866,1,0,0,17.448
Haval,1.418,31,8,1.013,0,0,0,26.546
Mitsubishi,2.034,52,14,5.299,0,0,0,43.054
Isuzu,0.560,51,21,2.539,0,0,0,5.992
Acura,1.440,31,9,1.560,0,0,0,32.797
Changan,0.201,63,23,4.681,0,0,0,30.002
Kia,2.172,23,0,1.598,0,1,0,15.330
BMW,0.481,26,1,4.804,1,0,1,40.856
Skoda,0.267,38,11,0.069,0,0,0,45.303
JAC,0.354,64,29,2.822,1,0,2,6.689
Mercedes-Benz,2.898,32,4,2.713,0,1,0,11.363
Acura,1.582,29,9,7.786,0,0,1,10.058
Hyundai,2.399,27,9,11.471,0,0,0,47.447
Honda,1.902,41,15,1.783,1,0,0,74.853
Toyota,1.593,50,22,9.813,0,0,0,24.725
Volkswagen,2.279,24,4,3.292,0,0,2,7.752
Nissan,1.070,40,14,10.839,0,0,2,12.488
Jeep,0.840,19,2,0.752,1,1,1,22.790
BYD,0.791,50,30,1.549,0,0,0,4.450
Smart,0.717,28,1,0.616,0,0,2,92.187
Chery,0.326,28,8,0.490,0,0,1,85.037
Renault,1.749,28,7,4.204,0,0,0,41.107
Honda,0.202,44,24,2.882,0,0,2,12.308
Audi,1.283,24,7,0.407,1,0,1,50.155
Jaguar,1.308,31,12,2.519,0,0,2,87.688
Volvo,1.582,52,23,5.835,1,0,3,29.793
Haval,0.239,30,11,3.137,0,0,0,6.565
Mercedes-Benz,1.313,31,3,4.980,0,0,0,23.327
Aston Martin,0.927,46,2,8.605,0,0,0,13.978
Acura,3.243,39,17,6.965,0,0,0,20.140
Isuzu,3.539,27,2,2.073,0,0,0,52.596
Hummer,0.476,29,4,3.146,1,0,0,6.278
Dodge,1.523,18,0,5.912,0,0,2,61.100
Datsun,1.920,37,12,3.829,1,0,0,27.789
Mazda,3.367,43,9,0.538,0,0,0,14.883
Oldsmobile,2.824,28,9,0.254,0,1,3,90.825
GMC,3.269,28,9,2.610,0,0,2,24.366
Toyota,2.730,33,8,4.359,1,0,0,40.527
SEAT,1.474,21,3,2.277,0,0,1,23.598
GMC,0.166,18,0,0.750,0,0,3,43.874
DongFeng,0.527,18,1,1.669,0,0,2,11.512
Jaguar,1.888,28,8,5.905,0,0,1,23.201
ТагАЗ,1.185,33,10,8.237,0,1,0,31.720
Saab,0.655,39,15,7.206,0,0,2,71.610
GMC,1.124,33,5,2.023,0,0,0,34.731
Lancia,1.903,46,16,1.751,0,1,0,37.468
Honda,1.284,44,22,2.260,0,0,1,38.665
Mercedes-Benz,0.833,21,2,1.685,1,0,2,39.407
Peugeot,1.035,25,4,3.843,0,0,3,36.364
Mazda,1.877,40,18,4.160,1,0,0,59.989
Daihatsu,1.178,33,6,1.814,0,0,0,17.299
Jaguar,2.334,21,4,4.587,0,0,2,14.825
BMW,3.210,33,7,5.477,0,0,2,89.790
Honda,0.510,38,11,4.197,1,0,1,70.444
Ford,0.441,48,9,1.971,0,0,0,44.559
Acura,0.938,44,16,7.091,0,0,0,11.569
Mitsubishi,1.463,36,11,1.682,1,0,0,12.841
Mazda,1.948,26,5,0.449,0,0,0,25.768
Chrysler,0.931,41,16,7.917,0,0,0,8.648
Isuzu,1.325,27,1,10.358,0,0,0,41.654
Citroen,0.363,46,9,1.857,0,0,3,29.834
Nissan,0.719,51,14,1.485,0,0,0,35.062
Saab,1.746,57,9,6.818,0,0,0,42.659
DongFeng,0.881,24,4,1.009,0,0,2,9.810
Scion,0.548,41,19,3.455,0,0,0,27.391
Nissan,0.915,24,3,4.740,0,0,0,51.718
Great Wall,1.046,24,4,5.789,1,0,0,77.647
Mitsubishi,1.374,37,10,2.072,1,0,2,78.251
Ferrari,0.818,30,12,4.759,0,0,0,33.736
Tesla,0.257,33,1,0.677,0,0,0,56.101
Pontiac,1.424,44,11,6.825,0,0,2,29.251
ZAZ,0.261,35,8,7.416,0,0,0,58.334
Honda,0.399,61,12,2.310,0,0,0,28.742
Mitsubishi,1.158,28,9,4.929,0,0,0,10.343
Smart,1.569,29,10,5.144,0,0,2,73.488
Mitsubishi,1.164,34,10,0.772,0,1,2,4.568
Scion,0.826,33,15,0.647,0,0,0,104.278
Suzuki,0.784,44,13,6.593,0,0,2,14.585
Mazda,1.761,44,8,3.543,1,0,0,64.188
Lexus,0.673,50,19,4.844,1,0,0,21.921
Foton,0.497,37,9,5.010,0,0,1,25.596
Scion,1.554,28,3,5.235,0,0,0,32.344
Mitsubishi,1.022,26,3,6.546,0,0,3,43.446
Changan,2.312,49,12,4.063,0,0,0,85.589
Mercedes-Benz,1.522,29,7,2.696,1,0,0,6.258
Saab,1.052,50,7,5.890,1,0,2,6.556
Jeep,2.823,28,4,1.215,0,0,0,13.713
Москвич,0.338,28,9,0.913,1,0,1,31.144
Maybach,2.258,28,7,4.609,0,0,0,54.436
Mercury,0.815,58,24,0.419,0,1,0,42.625
Mercedes-Benz,1.713,54,13,1.782,0,0,3,36.783
Nissan,0.324,62,26,3.522,0,0,2,20.635
Kia,0.564,25,3,5.798,1,0,0,27.656
Audi,0.440,52,28,1.890,1,0,0,4.124
Lamborghini,2.545,19,2,6.088,0,0,0,42.064
SsangYong,1.730,39,13,7.918,1,0,2,29.997
Ravon,1.616,57,23,2.983,1,1,2,21.562
Zotye,0.304,38,13,2.191,1,0,2,32.871
SsangYong,1.157,66,23,5.596,0,0,0,34.364
Citroen,0.810,39,6,1.229,1,0,0,31.883
Alfa Romeo,0.840,19,1,4.771,1,0,0,46.222
Alfa Romeo,0.879,44,3,2.203,1,0,1,28.758
Mitsubishi,1.564,25,1,2.309,0,1,0,40.517
Smart,2.680,30,12,4.989,0,0,3,22.908
Pontiac,0.850,54,14,1.280,0,0,0,9.172
Bugatti,0.316,41,11,3.286,1,0,0,54.201
Mazda,0.957,25,5,4.534,1,1,0,27.162
Rover,1.858,19,1,2.484,1,1,0,28.106
Mercedes-Benz,1.563,18,0,0.310,0,0,0,61.324
JAC,1.750,27,6,3.666,0,0,0,19.366
Daihatsu,0.838,23,6,2.591,0,0,0,10.470
Rolls-Royce,1.748,48,10,0.302,0,1,2,16.058
Saab,0.242,50,14,7.221,1,0,0,9.331
Ferrari,2.944,29,11,6.554,1,0,0,35.045
Lada (ВАЗ),2.028,33,7,5.740,1,0,0,39.728
Chrysler,0.975,38,11,4.615,0,1,0,50.381
JAC,1.150,29,0,0.583,0,0,0,35.368
Haima,1.628,32,12,0.045,1,0,0,33.679
Opel,1.789,61,22,7.827,1,0,3,58.797
Mitsubishi,2.329,50,14,5.057,1,0,2,36.956
Bugatti,2.526,19,1,6.196,0,0,3,51.347
Volvo,0.437,41,19,1.381,0,0,0,4.840
Haval,0.704,52,19,0.289,0,1,0,18.674
Rover,0.270,37,9,5.332,1,0,0,50.454
Honda,1.095,18,1,2.275,0,0,2,57.142
Ferrari,0.235,28,4,0.162,1,0,0,48.929
Nissan,2.256,28,7,2.240,0,0,0,23.030
BMW,3.023,47,20,3.203,1,0,3,44.122
Volkswagen,0.409,49,28,0.747,1,1,2,28.386
Zotye,1.486,30,11,8.210,1,0,0,14.096
Saab,2.078,35,17,3.235,0,0,0,49.830
Brilliance,0.531,22,4,3.471,1,0,2,20.529
Nissan,2.096,48,9,0.523,0,0,2,51.436
GAC,1.459,36,14,3.378,0,0,1,67.343
Lifan,1.371,35,17,0.960,1,0,0,26.991
Audi,2.077,26,2,0.571,0,0,0,37.243
Mazda,0.778,49,15,3.949,0,0,0,10.822
ГАЗ,0.337,29,0,3.184,1,0,0,19.127
Audi,0.562,41,12,1.082,0,0,0,39.293
Mercedes-Benz,0.923,47,9,2.545,0,0,2,38.704
Nissan,2.246,39,18,1.340,0,0,2,27.186
Renault,0.984,29,6,8.487,0,0,0,55.404
Mercury,0.880,58,23,1.910,1,0,1,24.005
Renault,1.211,25,6,0.326,0,1,1,59.081
Isuzu,0.995,21,4,6.939,0,0,0,42.803
Dodge,0.763,38,2,3.042,1,0,2,17.286
Skoda,1.222,34,11,3.803,0,0,2,40.522
Alfa Romeo,1.487,28,8,1.451,0,0,2,10.704
Lincoln,0.974,48,11,2.276,0,0,0,50.094
Lada (ВАЗ),0.504,33,14,0.103,1,0,0,5.269
Cadillac,2.121,40,19,4.126,0,0,2,71.187
SEAT,1.246,30,12,4.708,0,0,0,42.355
Jeep,2.530,22,1,5.397,1,0,0,46.738
Porsche,3.313,30,13,6.631,0,1,0,4.176
ТагАЗ,0.980,33,10,8.737,0,0,0,31.556
Haima,2.206,24,1,2.815,1,0,0,54.339
Lexus,2.288,41,13,1.678,1,0,0,4.857
Kia,2.764,27,1,1.631,0,0,0,28.455
Citroen,3.486,31,9,8.963,0,0,0,51.395
Foton,0.660,25,8,0.092,0,0,2,19.187
Rolls-Royce,1.059,39,15,2.295,0,0,2,24.796
SsangYong,1.244,19,1,2.613,0,0,2,19.482
Great Wall,1.300,50,11,3.490,0,0,2,23.401
Ford,2.300,30,2,5.698,1,0,0,48.203
Skoda,0.242,18,1,0.905,0,0,0,44.284
Jaguar,1.325,48,17,4.475,0,0,1,32.587
Ravon,0.570,24,4,3.254,1,0,2,4.061
Lada (ВАЗ),3.278,40,20,4.150,0,0,0,37.525
Geely,2.100,22,5,4.733,0,0,0,42.206
ZAZ,0.244,37,15,1.382,0,1,3,26.280
Mitsubishi,0.797,22,0,4.359,0,0,2,38.018
Toyota,1.450,40,15,2.043,1,0,2,20.997
Haval,0.162,23,3,4.212,0,0,0,16.022
Nissan,0.165,46,12,5.116,1,0,1,38.542
Luxgen,1.182,19,0,2.141,0,0,0,29.812
Chrysler,1.039,22,5,3.440,0,0,3,22.394
DS,1.625,37,11,2.481,1,0,2,36.470
Aston Martin,1.522,19,0,6.704,1,0,0,74.933
Hummer,1.366,40,15,4.819,1,0,0,6.554
Nissan,0.273,48,14,6.524,0,0,0,5.137
DS,0.449,42,23,3.910,0,0,0,9.625
BMW,1.491,44,17,3.130,0,1,0,40.530
Pontiac,1.040,31,11,6.646,0,0,0,10.835
Genesis,0.873,49,18,2.108,1,0,2,4.210
Haval,1.699,49,10,7.496,1,0,1,78.884
SEAT,0.705,36,9,1.445,0,1,0,15.297
Honda,0.552,63,26,0.217,1,0,0,56.094
Москвич,1.963,39,21,5.432,1,0,0,27.376
Mercury,1.145,24,1,1.157,1,0,1,64.960
Skoda,1.502,68,20,4.926,0,0,0,31.944
Luxgen,0.842,23,4,4.774,0,0,2,15.475
Mazda,1.455,29,5,3.506,1,0,0,49.188
Mazda,2.557,50,16,0.089,1,0,1,17.203
Datsun,1.350,38,16,2.774,0,0,2,46.129
Dodge,3.037,26,0,10.728,0,0,3,25.952
Lifan,1.816,28,11,0.403,0,1,0,20.699
Renault,1.792,42,19,3.205,0,0,0,22.218
Maserati,2.498,40,9,0.106,0,0,2,37.096
Maserati,0.778,30,11,3.811,1,0,0,19.529
Fiat,1.114,22,2,1.718,0,1,2,25.234
Lada (ВАЗ),0.827,49,19,0.581,1,1,1,58.255
УАЗ,1.819,21,4,0.596,0,0,0,31.995
Mitsubishi,1.203,39,21,6.318,1,0,0,33.082
Ford,0.684,62,15,4.374,1,0,0,8.074
Kia,1.499,53,18,3.774,1,0,2,21.776
Lifan,1.282,58,20,2.792,1,0,2,24.600
Ford,1.955,26,7,9.139,0,0,2,15.286
DongFeng,0.272,22,0,2.311,0,0,0,11.166
Москвич,3.156,22,5,8.054,1,0,0,6.019
GAC,1.402,19,2,0.068,0,0,1,13.180
Ferrari,0.689,32,1,8.485,1,0,2,71.945
Maybach,0.240,39,14,7.292,0,0,2,4.594
Skoda,0.409,22,2,2.991,0,0,2,78.803
Honda,2.047,70,23,0.061,0,0,0,24.054
УАЗ,3.005,39,6,5.242,1,0,1,5.843
Scion,0.658,22,1,2.760,0,0,2,46.479
Ford,0.331,38,16,0.322,0,1,3,24.372
Honda,1.604,22,1,5.156,0,0,2,40.547
Nissan,0.233,45,14,6.366,1,0,1,19.056
Hyundai,0.216,55,21,2.782,1,1,2,27.921
Pontiac,0.476,37,3,3.096,0,0,0,52.426
Audi,0.927,39,14,0.089,1,0,2,12.899
Mini,0.402,29,2,1.847,0,1,2,40.361
Mazda,1.303,18,1,8.476,1,0,0,12.233
Ferrari,0.812,24,5,3.474,0,0,2,16.962
Honda,0.699,40,16,2.255,0,0,2,15.328
Volkswagen,0.342,34,14,3.729,0,0,0,21.088
Honda,0.370,19,0,5.706,0,0,3,33.919
Hummer,2.756,39,9,7.067,0,0,0,36.008
Nissan,2.725,34,11,2.756,0,1,2,25.379
Volkswagen,3.339,51,18,2.169,1,0,1,18.841
BYD,0.172,25,7,3.860,0,0,1,3.939
Opel,1.579,22,1,2.747,0,0,0,8.216
Maybach,2.204,53,22,3.474,1,0,0,27.920
GMC,0.355,50,16,5.567,1,0,2,34.557
Audi,0.181,47,18,3.902,1,1,2,28.082
Mercedes-Benz,1.793,71,29,1.767,0,0,2,44.812
Cadillac,2.526,22,1,1.912,0,0,0,18.795
Alfa Romeo,1.949,33,11,4.714,1,0,0,57.159
Mazda,0.450,24,0,5.901,0,0,1,79.217
Hyundai,2.036,28,4,0.089,0,0,1,7.395
Hyundai,1.743,41,16,4.499,1,0,2,49.130
Dodge,0.888,22,1,5.016,1,0,0,10.924
Haval,0.740,54,16,0.487,0,0,0,77.154
Porsche,1.066,38,17,4.259,0,0,2,86.932
Suzuki,0.393,39,11,1.626,0,0,2,41.828
Москвич,0.320,26,9,4.750,0,0,0,26.870
Haima,0.217,37,1,4.427,0,0,0,21.313
Lifan,0.488,27,1,0.249,1,0,0,56.462
Cadillac,0.275,41,12,3.676,1,0,0,44.832
Lamborghini,0.588,44,8,3.707,0,0,0,9.041
Rolls-Royce,0.356,29,11,7.757,0,0,0,19.583
Land Rover,1.332,33,14,0.570,1,0,1,11.587
Москвич,2.030,55,16,0.380,0,0,1,32.973
Acura,1.280,36,11,0.033,0,0,0,7.844
Audi,1.109,23,0,0.408,0,0,3,26.081
GAC,0.819,19,1,1.722,0,0,0,3.001
Subaru,0.264,21,1,5.361,1,0,1,57.167
Mercedes-Benz,0.360,19,1,3.192,0,0,1,5.415
Jaguar,2.421,22,5,1.993,1,0,0,26.864
Mercury,2.305,43,7,0.440,0,0,0,18.236
Infiniti,1.323,40,17,5.594,0,0,1,20.927
Bentley,0.299,41,15,2.728,0,0,2,19.562
Kia,0.971,19,1,0.965,0,1,2,50.252
Bentley,1.565,22,2,1.741,1,0,1,16.934
Peugeot,0.228,34,13,1.712,1,0,2,30.034
Acura,1.873,37,19,4.839,0,0,2,19.305
Rover,1.015,20,2,1.698,0,0,1,68.443
Mazda,1.002,29,6,5.404,1,0,0,71.857
Audi,0.483,55,16,4.608,0,0,2,44.025
Mercedes-Benz,0.652,38,10,2.915,0,1,0,24.340
Acura,0.410,34,15,4.411,0,0,0,40.277
Land Rover,1.323,31,9,0.054,0,0,0,61.552
Nissan,2.423,41,4,4.419,1,0,0,26.650
Daewoo,1.351,45,17,2.920,0,0,1,65.262
Rover,0.976,49,17,2.906,0,0,0,48.756
Lancia,0.173,56,12,4.239,1,1,0,20.502
Mitsubishi,2.147,52,14,3.030,0,0,0,8.258
BMW,0.809,32,12,1.428,0,0,0,19.853
Volkswagen,1.862,30,7,2.662,0,0,2,17.331
Lada (ВАЗ),1.138,30,7,4.770,1,0,1,42.609
Land Rover,1.121,38,10,0.836,1,0,0,55.049
Renault,0.647,32,10,5.625,0,0,1,8.954
Mazda,0.605,75,12,2.039,1,0,0,51.564
Aston Martin,1.447,30,8,5.417,0,0,1,33.329
Acura,1.014,40,14,5.273,0,0,0,87.385
Foton,0.541,29,1,3.010,0,0,0,57.560
Mercedes-Benz,1.122,44,13,4.202,0,0,0,5.885
Chevrolet,1.104,47,16,7.830,0,0,3,78.726
Infiniti,3.043,56,22,3.652,0,0,0,3.501
Subaru,0.913,30,9,5.482,1,0,3,13.092
Acura,2.749,31,8,1.408,0,0,2,8.136
Hyundai,2.747,32,13,0.918,0,0,1,44.470
Mazda,0.383,53,21,0.769,0,0,0,50.738
Ford,0.344,49,12,2.413,0,0,2,39.079
Geely,1.070,31,11,1.739,0,0,0,40.615
Rover,1.476,39,13,0.503,0,0,1,12.916
ZAZ,1.948,26,2,1.199,0,0,0,30.004
Mercedes-Benz,0.895,47,25,1.421,1,1,1,49.850
Genesis,0.970,18,1,1.908,0,0,1,15.994
BMW,0.552,53,20,6.841,0,0,0,18.107
Genesis,1.109,45,20,1.627,0,0,0,50.628
Ford,1.780,41,0,6.208,1,0,0,3.442
Kia,0.553,26,2,0.325,0,1,2,36.944
Mercury,0.655,28,2,1.742,0,1,0,33.611
Citroen,1.703,28,8,2.176,0,0,0,47.726
JAC,1.666,28,10,2.941,1,0,1,4.582
Rover,2.769,22,0,4.641,0,0,1,12.136
Chrysler,1.572,32,3,7.685,0,1,0,38.593
Honda,0.332,35,18,0.493,0,0,3,70.084
Tesla,0.194,21,1,7.236,0,0,0,56.429
ZAZ,1.299,29,0,4.985,1,0,1,65.606
Renault,1.102,56,13,5.557,1,0,0,40.196
Mitsubishi,3.791,66,16,7.789,0,0,2,26.674
Volvo,0.561,19,1,2.238,0,0,1,8.222
Cadillac,1.543,42,12,7.443,0,0,1,22.512
Rover,0.914,26,6,3.073,0,0,0,25.061
Daewoo,1.568,41,9,0.930,0,0,0,26.815
Lincoln,2.710,33,10,4.682,0,1,1,33.621
Mini,0.738,35,16,2.778,1,0,2,72.435
Geely,1.455,49,19,4.785,0,0,3,4.529
Kia,0.755,43,11,4.752,1,0,2,42.500
Mercedes-Benz,2.274,27,4,9.007,1,0,2,37.095
Peugeot,0.910,19,2,5.553,1,0,0,31.441
Volkswagen,0.506,28,10,0.861,1,0,2,15.874
ТагАЗ,2.371,67,24,11.495,1,0,2,19.986
Lada (ВАЗ),0.889,51,11,6.244,1,0,0,31.182
Opel,1.551,21,1,1.964,0,0,0,45.246
Great Wall,0.631,34,10,1.799,1,0,0,24.212
Rover,0.625,24,4,0.006,0,0,2,51.301
УАЗ,0.322,29,4,2.453,1,0,1,47.909
Smart,0.405,39,17,0.747,1,0,2,41.892
Daewoo,1.634,22,1,6.735,0,1,2,28.443
Jeep,1.039,41,12,3.469,0,0,2,44.263
Ford,3.108,34,0,6.321,0,0,2,10.772
Mitsubishi,0.311,26,4,1.783,1,0,0,9.850
Skoda,1.961,27,3,0.044,0,0,2,40.619
BMW,0.873,43,14,0.433,0,0,0,6.437
Lancia,0.409,53,14,3.442,0,0,2,34.699
Citroen,0.844,42,7,2.899,1,0,0,3.012
Hummer,0.321,28,9,0.390,1,0,2,20.848
Kia,2.797,25,4,3.290,0,0,0,28.922
BMW,1.123,21,0,7.676,1,0,2,15.174
